,budget,genres,popularity,production_companies,release_date,revenue,runtime,title,vote_average,vote_count,Number_Genres
0,237000000,Action,150.437577,Ingenious Film Partners,2009-12-10,2787965087,162.0,Avatar,7.2,11800,4
1,300000000,Adventure,139.082615,Walt Disney Pictures,2007-05-19,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,3
2,245000000,Action,107.37678799999999,Columbia Pictures,2015-10-26,880674609,148.0,Spectre,6.3,4466,3
3,250000000,Action,112.31295,Legendary Pictures,2012-07-16,1084939099,165.0,The Dark Knight Rises,7.6,9106,4
4,260000000,Action,43.926995,Walt Disney Pictures,2012-03-07,284139100,132.0,John Carter,6.1,2124,3
5,258000000,Fantasy,115.69981399999999,Columbia Pictures,2007-05-01,890871626,139.0,Spider-Man 3,5.9,3576,3
6,260000000,Animation,48.681969,Walt Disney Pictures,2010-11-24,591794936,100.0,Tangled,7.4,3330,2
7,280000000,Action,134.27922900000002,Marvel Studios,2015-04-22,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,3
8,250000000,Adventure,98.885637,Warner Bros.,2009-07-07,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,3
9,250000000,Action,155.790452,DC Comics,2016-03-23,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,3
10,270000000,Adventure,57.925623,DC Comics,2006-06-28,391081192,154.0,Superman Returns,5.4,1400,4
11,200000000,Adventure,107.92881100000001,Eon Productions,2008-10-30,586090727,106.0,Quantum of Solace,6.1,2965,4
12,200000000,Adventure,145.84737900000002,Walt Disney Pictures,2006-06-20,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,3
13,255000000,Action,49.046956,Walt Disney Pictures,2013-07-03,89289910,149.0,The Lone Ranger,5.9,2311,3
14,225000000,Action,99.398009,Legendary Pictures,2013-06-12,662845518,143.0,Man of Steel,6.5,6359,4
15,225000000,Adventure,53.978602,Walt Disney,2008-05-15,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,3
16,220000000,Science Fiction,144.448633,Paramount Pictures,2012-04-25,1519557910,143.0,The Avengers,7.4,11776,3
17,380000000,Adventure,135.413856,Walt Disney Pictures,2011-05-14,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,3
18,225000000,Action,52.035179,Amblin Entertainment,2012-05-23,624026776,106.0,Men in Black 3,6.2,4160,3
19,250000000,Action,120.96574299999999,WingNut Films,2014-12-10,956019788,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,3
20,215000000,Action,89.866276,Columbia Pictures,2012-06-27,752215857,136.0,The Amazing Spider-Man,6.5,6586,3
21,200000000,Action,37.668301,Imagine Entertainment,2010-05-12,310669540,140.0,Robin Hood,6.2,1398,2
22,250000000,Adventure,94.370564,WingNut Films,2013-12-11,958400000,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,2
23,180000000,Adventure,42.990906,New Line Cinema,2007-12-04,372234864,113.0,The Golden Compass,5.8,1303,2
24,207000000,Adventure,61.226009999999995,WingNut Films,2005-12-14,550000000,187.0,King Kong,6.6,2337,3
25,200000000,Drama,100.025899,Paramount Pictures,1997-11-18,1845034188,194.0,Titanic,7.5,7562,3
26,250000000,Adventure,198.37239499999998,Studio Babelsberg,2016-04-27,1153304495,147.0,Captain America: Civil War,7.1,7241,3
27,209000000,Thriller,64.928382,Universal Pictures,2012-04-11,303025485,131.0,Battleship,5.5,2114,4
28,150000000,Action,418.708552,Universal Studios,2015-06-09,1513528810,124.0,Jurassic World,6.5,8662,4
29,200000000,Action,93.004993,Columbia Pictures,2012-10-25,1108561013,143.0,Skyfall,6.9,7604,3
30,200000000,Action,35.149586,Columbia Pictures,2004-06-25,783766341,127.0,Spider-Man 2,6.7,4321,3
31,200000000,Action,77.68208,Marvel Studios,2013-04-18,1215439994,130.0,Iron Man 3,6.8,8806,3
32,200000000,Family,78.530105,Walt Disney Pictures,2010-03-03,1025491110,108.0,Alice in Wonderland,6.4,4645,3
33,210000000,Adventure,3.857526,Ingenious Film Partners,2006-05-24,459359555,104.0,X-Men: The Last Stand,6.3,3525,4
34,200000000,Animation,89.186492,Walt Disney Pictures,2013-06-20,743559607,104.0,Monsters University,7.0,3528,2
35,150000000,Science Fiction,21.939663,Paramount Pictures,2009-06-19,836297228,150.0,Transformers: Revenge of the Fallen,6.0,3138,3
36,210000000,Science Fiction,116.840296,Paramount Pictures,2014-06-25,1091405097,165.0,Transformers: Age of Extinction,5.8,3095,3
37,200000000,Fantasy,46.985445,Walt Disney Pictures,2013-03-07,491868548,130.0,Oz: The Great and Powerful,5.7,3530,3
38,200000000,Action,89.270217,Columbia Pictures,2014-04-16,705717432,142.0,The Amazing Spider-Man 2,6.5,4179,3
39,170000000,Adventure,73.79505,Walt Disney Pictures,2010-12-10,400062763,125.0,TRON: Legacy,6.3,2841,3
40,200000000,Animation,49.98659,Walt Disney Pictures,2011-06-11,559852396,106.0,Cars 2,5.8,2033,4
41,200000000,Adventure,51.872839,De Line Pictures,2011-06-16,219851172,114.0,Green Lantern,5.1,2487,4
42,200000000,Animation,59.99541800000001,Walt Disney Pictures,2010-06-16,1066969703,103.0,Toy Story 3,7.6,4597,3
43,200000000,Action,71.862892,Columbia Pictures,2009-05-20,371353001,115.0,Terminator Salvation,5.9,2463,3
44,190000000,Action,102.32221700000001,Universal Pictures,2015-04-01,1506249360,137.0,Furious 7,7.3,4176,1
45,200000000,Action,81.834855,Paramount Pictures,2013-06-20,531865000,116.0,World War Z,6.7,5560,5
46,250000000,Action,118.07869099999999,Twentieth Century Fox Film Corporation,2014-05-15,747862775,131.0,X-Men: Days of Future Past,7.5,6032,4
47,190000000,Action,78.29101800000001,Paramount Pictures,2013-05-05,467365246,132.0,Star Trek Into Darkness,7.4,4418,3
48,195000000,Action,43.349855,New Line Cinema,2013-02-27,197687603,114.0,Jack the Giant Slayer,5.5,2598,3
49,105000000,Drama,61.196070999999996,Village Roadshow Pictures,2013-05-10,351040419,143.0,The Great Gatsby,7.3,3769,2
50,150000000,Adventure,62.169881000000004,Walt Disney Pictures,2010-05-19,335154643,116.0,Prince of Persia: The Sands of Time,6.2,2317,4
51,180000000,Action,56.523205000000004,Legendary Pictures,2013-07-11,407602906,131.0,Pacific Rim,6.7,4794,3
52,195000000,Action,28.529607000000002,Paramount Pictures,2011-06-28,1123746996,154.0,Transformers: Dark of the Moon,6.1,3299,3
53,185000000,Adventure,75.674458,Lucasfilm,2008-05-21,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,2
54,175000000,Adventure,51.692953,Walt Disney Pictures,2015-11-14,331926147,93.0,The Good Dinosaur,6.6,1736,3
55,185000000,Animation,125.114374,Walt Disney Pictures,2012-06-21,538983207,93.0,Brave,6.7,4641,6
56,185000000,Action,65.352913,Paramount Pictures,2016-07-07,343471816,122.0,Star Trek Beyond,6.6,2568,3
57,180000000,Animation,66.390712,Walt Disney Pictures,2008-06-22,521311860,98.0,WALL·E,7.8,6296,2
58,140000000,Action,22.57178,New Line Cinema,2007-08-08,258022233,91.0,Rush Hour 3,6.1,783,4
59,200000000,Action,45.274225,Columbia Pictures,2009-10-10,769653595,158.0,2012,5.6,4903,3
60,200000000,Animation,39.744242,Walt Disney,2009-11-04,325233863,96.0,A Christmas Carol,6.6,1095,2
61,176000003,Science Fiction,85.36908000000001,Village Roadshow Pictures,2015-02-04,183987723,124.0,Jupiter Ascending,5.2,2768,4
62,180000000,Action,42.741719,Village Roadshow Pictures,2016-06-29,356743061,109.0,The Legend of Tarzan,5.5,2430,2
63,180000000,Adventure,67.391328,Walt Disney,2005-12-07,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,3
64,178000000,Science Fiction,139.272042,Twentieth Century Fox Film Corporation,2016-05-18,543934787,144.0,X-Men: Apocalypse,6.4,4721,1
65,185000000,Drama,187.322927,DC Comics,2008-07-16,1004558444,152.0,The Dark Knight,8.2,12002,4
66,175000000,Animation,92.201962,Pixar Animation Studios,2009-05-13,735099082,96.0,Up,7.7,6870,4
67,175000000,Animation,36.167578000000006,DreamWorks Animation,2009-03-19,381509870,94.0,Monsters vs Aliens,6.0,1423,4
68,140000000,Action,120.725053,Marvel Studios,2008-04-30,585174222,126.0,Iron Man,7.4,8776,3
69,170000000,Adventure,32.319043,Paramount Pictures,2011-11-22,185770160,126.0,Hugo,7.0,2141,3
70,170000000,Action,40.748915000000004,"Todman, Simon, LeMasters Productions",1999-06-29,222104681,106.0,Wild Wild West,5.1,1020,5
71,145000000,Adventure,60.034162,Universal Pictures,2008-07-01,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,3
72,175000000,Action,90.23791999999999,DC Comics,2016-08-02,745000000,123.0,Suicide Squad,5.9,7458,5
73,175000000,Fantasy,27.082182,Columbia Pictures,2007-06-09,173000000,96.0,Evan Almighty,5.3,1151,3
74,178000000,Action,79.456485,Village Roadshow Pictures,2014-05-27,370541256,113.0,Edge of Tomorrow,7.6,4858,2
75,175000000,Adventure,44.640291999999995,Universal Pictures,1995-07-28,264218220,135.0,Waterworld,5.9,992,2
76,175000000,Adventure,32.852443,Paramount Pictures,2009-08-04,302469017,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,4
77,175000000,Drama,128.65596399999998,Walt Disney Pictures,2015-06-09,857611174,94.0,Inside Out,8.0,6560,4
78,175000000,Family,94.19931600000001,Walt Disney Pictures,2016-04-07,966550600,106.0,The Jungle Book,6.7,2892,4
79,200000000,Adventure,77.30019399999999,Marvel Studios,2010-04-28,623933331,124.0,Iron Man 2,6.6,6849,3
80,170000000,Adventure,77.178973,Universal Pictures,2012-05-30,396600000,127.0,Snow White and the Huntsman,5.8,3118,3
81,180000000,Fantasy,110.62064699999999,Walt Disney Pictures,2014-05-28,758539785,97.0,Maleficent,7.0,4496,5
82,170000000,Science Fiction,243.79174300000003,Ingenious Media,2014-06-26,710644566,130.0,Dawn of the Planet of the Apes,7.3,4410,4
83,27000000,Action,2.418535,Corsan,2015-02-13,0,109.0,The Lovers,4.8,34,4
84,175000000,Drama,41.796339,Mid Atlantic Films,2013-12-06,150962475,119.0,47 Ronin,5.9,1326,4
85,170000000,Action,72.22526500000001,Marvel Studios,2014-03-20,714766572,136.0,Captain America: The Winter Soldier,7.6,5764,3
86,165000000,Comedy,44.041185999999996,DreamWorks Animation,2010-05-16,752600867,93.0,Shrek Forever After,6.0,1959,5
